user,p1_position,p1_time,p2_position,p2_time
5space,1,155,2,394
Looking for blog readers!,2,164,,
Kevin Wang,3,224,,
Kroppeb,4,229,48,996
TimHuisman1703,5,240,49,1002
boboquack,6,244,1,331
Andrew Macheret,7,255,,
nim-ka,8,277,62,1087
Måns Magnusson,9,285,3,438
zacharybarbanell,10,298,18,747
Михаил Минков ,11,298,,
Jan Verbeek,12,299,,
Lovemathboy H,13,299,32,901
Rayson Su,14,301,5,485
Lief,15,302,,
rhendric,16,309,,
nthistle,17,310,,
Zeyu Chen,18,312,82,1180
Thomas Neill,19,313,,
Isaac Good,20,329,,
tenth,21,336,4,453
TLSM,22,338,,
qerhgqe67fwq8fqw867f,23,342,,
Erik Amirell Eklöf,24,342,25,800
Max Nilsson,25,347,,
Bahnschrift,26,349,,
drysle,27,364,,
grhkm21,28,365,,
bluepichu,29,366,14,651
anonymous user #1510407,30,367,63,1090
psun256,31,375,,
Daniel Yang,32,379,11,604
evanphoward,33,381,,
Gregor Kikelj,34,381,,
Daniel Gu,35,385,,
Riley Borgard,36,387,27,813
glguy,37,391,,
coolcomputery,38,391,9,575
mrphlip,39,395,,
Geoffrey Kleinberg,40,404,12,632
Noble Mushtak,41,404,6,546
Justin Pombrio,42,405,20,765
Adavya Goyal,43,405,68,1107
Neal Wu,44,405,66,1106
Joel Jonsson,45,406,,
Hafnium780,46,414,,
Mathis Hammel ,47,417,,
int-e,48,418,21,766
Jeffrey H.,49,422,89,1208
Magnus Hokland Hegdahl,50,423,10,583
ttalvitie,51,423,16,703
Lucas M.,52,426,,
Dan Schafer,53,427,,
anonymous user #371225,54,431,,
Nathan Fenner,55,432,,
Aymeric Wibo,56,434,79,1170
b-paul,57,435,,
trillian,58,435,34,909
vstrimaitis,59,436,56,1079
andriigrynenko,60,438,,
Victor Chen,61,441,23,798
yusent,62,445,,
qpwoeirut,63,452,,
Kevin Sun,64,452,45,981
Toni Fadjukoff ,65,452,,
phenomist,66,453,7,554
Anthony Li,67,454,,
Joel Gibson,68,454,13,642
Robert Usher,69,456,,
Robert Pham,70,456,,
tsreaper,71,456,,
Leon Bröckers ,72,462,,
msullivan,73,464,,
LiquidFun,74,464,,
Kevin Yap,75,466,,
Mercerenies,76,468,,
hyper-neutrino,77,470,8,571
bcdean,78,471,,
leonard-weininger,79,473,,
Werner Altewischer,80,477,,
Matthew Ramina,81,479,,
tckmn,82,482,26,810
Wouter van Heyst,83,482,,
VasilyDK,84,483,,
Coder Gautam,85,483,,
Epiphane,86,484,,
mahbubul hasan,87,485,,
Waffle,88,485,,
Alex Wen,89,485,,
Nicholas Foo,90,487,,
E-M-Bailey,91,491,15,659
joshuaruegge,92,494,,
David Sharick,93,496,,
Andrew X. ,94,498,38,927
Nicolas Normand,95,498,54,1045
BradfordC,96,498,,
kdvkrs,97,498,,
jwseph,98,501,84,1185
Søren Fuglede Jørgensen,99,501,,
Ethan,100,501,76,1162
Arib Chowdhury,,,17,713
kalvdans,,,19,757
Thorvald Dox ,,,22,783
vjeranc,,,24,799
André Emery,,,28,855
xiaowuc1,,,29,875
Ross Dempsey,,,30,881
Oliver Ni,,,31,885
Aleksei Latyshev,,,33,908
Antonio Molina ,,,35,916
vitekmel,,,36,920
proxima b,,,37,923
nfejes,,,39,930
Nikita Gaevoy,,,40,930
mdlu,,,41,935
Etienne Vouga,,,42,936
Yoshiap,,,43,945
HalbFettKaese,,,44,974
TheSuperGamer20578,,,46,989
thuustalu,,,47,991
Vladislav Isenbaev,,,50,1004
leijurv,,,51,1027
0e4ef622,,,52,1030
Kye W. Shi,,,53,1036
Garrett Lyon,,,55,1076
democat3457,,,57,1080
Maxim Buzdalov,,,58,1083
Also looking 4 an internship! ,,,59,1083
lutyj,,,60,1085
KyleNo,,,61,1087
Maj Stenmark,,,64,1093
Evan Jeffrey,,,65,1105
Max Bowman,,,67,1107
Sean Yawning,,,69,1109
Patrick Fitzgerald,,,70,1111
blu3r4y,,,71,1113
1234abcdcba4321 ,,,72,1118
SimpleArt,,,73,1124
Gleb Mazovetskiy ,,,74,1143
🌁🚑 ,,,75,1154
Reinier Schmiermann,,,77,1163
Kai Burjack,,,78,1169
xelf,,,80,1173
jamesjjx,,,81,1173
Geoff Zheng ,,,83,1183
andrewcarlotti,,,85,1186
Golovanov399,,,86,1189
mokotturu,,,87,1191
Gabriel Wu,,,88,1205
Fragger,,,90,1208
Kami Leon,,,91,1213
Nicky Skybytskyi,,,92,1215
Daniel Long,,,93,1219
abailey2020,,,94,1224
Stewart Wilcox,,,95,1224
Tam An Le Quang,,,96,1229
SeptaCube,,,97,1235
Tom Sirgedas,,,98,1237
anonymous user #3708199,,,99,1241
stazarzxy,,,100,1255
