position,user,score
1,qianxyz ,200
2,Peter Hedman,197
3,Justin Arnold,196
4,Shen Li,195
5,bjebert,189
6,5space,188
6,secemp9,188
8,chunkybanana,182
9,Daniel Yang,181
9,tckmn,181
11,nthistle,173
12,ben,172
12,Adavya Goyal,172
14,Jonathan Ross,171
15,Małgorzata Kozłowska,170
16,nim-ka,169
17,anonymous user #1565212,162
18,TXort,155
19,Lenny S,154
19,Peter Burbery,154
21,dnialh,152
22,Oliver Ni,150
23,david-why,148
24,rak1507,147
24,Ryan Eaton,147
26,petertseng,146
27,anonymous user #44119,145
28,Anish Singhani,140
29,jonathanpaulson,137
30,dzaima,134
31,Solomon,132
31,connorjayr,132
31,flocto,132
31,mserrano,132
35,anominos,130
35,Paul McMullin,130
37,nimak02,126
37,boboquack,126
39,Jasper van Merle,122
40,vash3r ,114
41,evanphoward,110
42,Anango Prabhat,107
43,katrinafyi,101
43,Starwort,101
43,Shashank Bhatt,101
46,mrphlip,95
47,benmirtchouk,90
47,mrkeldon,90
47,Kevin Yap,90
50,@Dusknt,88
50,Looking for blog readers!,88
52,Verulean,86
52,Chara,86
54,Alex Steele,84
55,ZED.Charley William Thairo,81
56,Davis Yoshida ,78
57,Bikatr7,77
58,jrdonat,75
59,ecqiu,70
60,Venkat Rao,69
61,bluepichu,68
61,Ryan Hitchman,68
63,Neal Wu,67
64,Martin Camacho,65
65,Alexander Haupt,64
65,Lukas Gelbmann,64
67,Tobias-Glimmerfors,61
68,Reza Rezvan,60
69,Luap2003,57
70,Søren Fuglede Jørgensen,54
71,Eddie Qiao,53
72,Robert Xiao,52
72,hyper-neutrino,52
74,Lovemathboy H,50
74,Jan Verbeek,50
76,TheFatRabbit,49
77,Raymond Chen,48
78,Måns Magnusson,46
79,kxd66,45
80,Alexander Berntsson,43
81,Christian Cederquist,42
81,Rohan Garg,42
83,Lydxn,41
84,anonymous user #60233,40
85,Jodi Diffey,39
86,Camelpilot33,38
86,twright0,38
86,Samvar Shah,38
89,Krish,34
89,vstrimaitis,34
91,mangoqwq,32
92,piman51277,30
92,rhendric,30
92,Erik Amirell Eklöf,30
95,Nate Allen,29
95,Gorane7,29
97,Cameron Wu ,27
98,Kevin Sheng,26
99,psun256,25
100,Zack Lee,23
100,Ryan Tang,23
102,Zack Chroman,22
103,anonymous user #4318035,21
104,Emanuel Särnhammar,19
105,Tim Vermeulen,18
106,Dennis Hu,16
107,grkozlowski,15
108,Omkar Bhalerao,14
108,falsidge,14
110,Thomas Feld,13
111,anonymous user #1047278,12
111,skanev,12
113,Nicholas Tarsis,11
113,Md Abedin,11
115,Michele Castellana ,10
116,dan-simon,9
116,Ian DeHaan,9
118,MvKaio,6
119,Luca De Cosmo,5
119,Warith Rahman,5
121,Alen Koso ,4
121,ndimov,4
123,Taras Gritsenko,3
124,shinyclovers,2
125,SeptaCube,1
